"state_code","year","group","averiguaciones","population","rate","name","long_name"
1,1997,"HOMICIDIOS DOLOSOS",355,957443,37.08,"AGU","Aguascalientes"
1,1998,"HOMICIDIOS DOLOSOS",66,974940,6.77,"AGU","Aguascalientes"
1,1999,"HOMICIDIOS DOLOSOS",27,991858,2.72,"AGU","Aguascalientes"
1,2000,"HOMICIDIOS DOLOSOS",14,1008447,1.39,"AGU","Aguascalientes"
1,2001,"HOMICIDIOS DOLOSOS",22,1025563,2.15,"AGU","Aguascalientes"
1,2002,"HOMICIDIOS DOLOSOS",26,1043783,2.49,"AGU","Aguascalientes"
1,2003,"HOMICIDIOS DOLOSOS",21,1062250,1.98,"AGU","Aguascalientes"
1,2004,"HOMICIDIOS DOLOSOS",17,1079814,1.57,"AGU","Aguascalientes"
1,2005,"HOMICIDIOS DOLOSOS",19,1096736,1.73,"AGU","Aguascalientes"
1,2006,"HOMICIDIOS DOLOSOS",26,1114099,2.33,"AGU","Aguascalientes"
1,2007,"HOMICIDIOS DOLOSOS",49,1133032,4.32,"AGU","Aguascalientes"
1,2008,"HOMICIDIOS DOLOSOS",63,1154011,5.46,"AGU","Aguascalientes"
1,2009,"HOMICIDIOS DOLOSOS",66,1175942,5.61,"AGU","Aguascalientes"
1,2010,"HOMICIDIOS DOLOSOS",75,1195787,6.27,"AGU","Aguascalientes"
1,2011,"HOMICIDIOS DOLOSOS",71,1215094,5.84,"AGU","Aguascalientes"
1,2012,"HOMICIDIOS DOLOSOS",44,1233921,3.57,"AGU","Aguascalientes"
1,2013,"HOMICIDIOS DOLOSOS",39,1252265,3.11,"AGU","Aguascalientes"
1,2014,"HOMICIDIOS DOLOSOS",42,1270174,3.31,"AGU","Aguascalientes"
2,1997,"HOMICIDIOS DOLOSOS",492,2306424,21.33,"BCN","Baja California"
2,1998,"HOMICIDIOS DOLOSOS",292,2387650,12.23,"BCN","Baja California"
2,1999,"HOMICIDIOS DOLOSOS",657,2469220,26.61,"BCN","Baja California"
2,2000,"HOMICIDIOS DOLOSOS",460,2549842,18.04,"BCN","Baja California"
2,2001,"HOMICIDIOS DOLOSOS",456,2627368,17.36,"BCN","Baja California"
2,2002,"HOMICIDIOS DOLOSOS",466,2702832,17.24,"BCN","Baja California"
2,2003,"HOMICIDIOS DOLOSOS",479,2775926,17.26,"BCN","Baja California"
2,2004,"HOMICIDIOS DOLOSOS",470,2845936,16.51,"BCN","Baja California"
2,2005,"HOMICIDIOS DOLOSOS",539,2912674,18.51,"BCN","Baja California"
2,2006,"HOMICIDIOS DOLOSOS",483,2977440,16.22,"BCN","Baja California"
2,2007,"HOMICIDIOS DOLOSOS",511,3041783,16.8,"BCN","Baja California"
2,2008,"HOMICIDIOS DOLOSOS",853,3105709,27.47,"BCN","Baja California"
2,2009,"HOMICIDIOS DOLOSOS",750,3168319,23.67,"BCN","Baja California"
2,2010,"HOMICIDIOS DOLOSOS",884,3224844,27.41,"BCN","Baja California"
2,2011,"HOMICIDIOS DOLOSOS",673,3275399,20.55,"BCN","Baja California"
2,2012,"HOMICIDIOS DOLOSOS",590,3328623,17.73,"BCN","Baja California"
2,2013,"HOMICIDIOS DOLOSOS",775,3381080,22.92,"BCN","Baja California"
2,2014,"HOMICIDIOS DOLOSOS",714,3432944,20.8,"BCN","Baja California"
3,1997,"HOMICIDIOS DOLOSOS",60,426653,14.06,"BCS","Baja California Sur"
3,1998,"HOMICIDIOS DOLOSOS",18,439911,4.09,"BCS","Baja California Sur"
3,1999,"HOMICIDIOS DOLOSOS",31,453340,6.84,"BCS","Baja California Sur"
3,2000,"HOMICIDIOS DOLOSOS",31,466455,6.65,"BCS","Baja California Sur"
3,2001,"HOMICIDIOS DOLOSOS",25,480190,5.21,"BCS","Baja California Sur"
3,2002,"HOMICIDIOS DOLOSOS",28,495522,5.65,"BCS","Baja California Sur"
3,2003,"HOMICIDIOS DOLOSOS",24,511831,4.69,"BCS","Baja California Sur"
3,2004,"HOMICIDIOS DOLOSOS",36,529124,6.8,"BCS","Baja California Sur"
3,2005,"HOMICIDIOS DOLOSOS",34,546776,6.22,"BCS","Baja California Sur"
3,2006,"HOMICIDIOS DOLOSOS",20,565024,3.54,"BCS","Baja California Sur"
3,2007,"HOMICIDIOS DOLOSOS",28,584639,4.79,"BCS","Baja California Sur"
3,2008,"HOMICIDIOS DOLOSOS",28,605343,4.63,"BCS","Baja California Sur"
3,2009,"HOMICIDIOS DOLOSOS",31,626900,4.94,"BCS","Baja California Sur"
3,2010,"HOMICIDIOS DOLOSOS",48,649616,7.39,"BCS","Baja California Sur"
3,2011,"HOMICIDIOS DOLOSOS",38,672682,5.65,"BCS","Baja California Sur"
3,2012,"HOMICIDIOS DOLOSOS",35,695409,5.03,"BCS","Baja California Sur"
3,2013,"HOMICIDIOS DOLOSOS",56,718196,7.8,"BCS","Baja California Sur"
3,2014,"HOMICIDIOS DOLOSOS",70,741037,9.45,"BCS","Baja California Sur"
4,1997,"HOMICIDIOS DOLOSOS",130,659417,19.71,"CAM","Campeche"
4,1998,"HOMICIDIOS DOLOSOS",117,673672,17.37,"CAM","Campeche"
4,1999,"HOMICIDIOS DOLOSOS",78,687422,11.35,"CAM","Campeche"
4,2000,"HOMICIDIOS DOLOSOS",55,700708,7.85,"CAM","Campeche"
4,2001,"HOMICIDIOS DOLOSOS",52,714008,7.28,"CAM","Campeche"
4,2002,"HOMICIDIOS DOLOSOS",52,727546,7.15,"CAM","Campeche"
4,2003,"HOMICIDIOS DOLOSOS",55,741113,7.42,"CAM","Campeche"
4,2004,"HOMICIDIOS DOLOSOS",37,754622,4.9,"CAM","Campeche"
4,2005,"HOMICIDIOS DOLOSOS",51,768097,6.64,"CAM","Campeche"
4,2006,"HOMICIDIOS DOLOSOS",28,781620,3.58,"CAM","Campeche"
4,2007,"HOMICIDIOS DOLOSOS",36,795450,4.53,"CAM","Campeche"
4,2008,"HOMICIDIOS DOLOSOS",45,809636,5.56,"CAM","Campeche"
4,2009,"HOMICIDIOS DOLOSOS",41,824071,4.98,"CAM","Campeche"
4,2010,"HOMICIDIOS DOLOSOS",59,836748,7.05,"CAM","Campeche"
4,2011,"HOMICIDIOS DOLOSOS",59,852373,6.92,"CAM","Campeche"
4,2012,"HOMICIDIOS DOLOSOS",69,866375,7.96,"CAM","Campeche"
4,2013,"HOMICIDIOS DOLOSOS",67,880299,7.61,"CAM","Campeche"
4,2014,"HOMICIDIOS DOLOSOS",65,894136,7.27,"CAM","Campeche"
5,1997,"HOMICIDIOS DOLOSOS",175,2276268,7.69,"COA","Coahuila de Zaragoza"
5,1998,"HOMICIDIOS DOLOSOS",165,2315412,7.13,"COA","Coahuila de Zaragoza"
5,1999,"HOMICIDIOS DOLOSOS",139,2354430,5.9,"COA","Coahuila de Zaragoza"
5,2000,"HOMICIDIOS DOLOSOS",113,2393756,4.72,"COA","Coahuila de Zaragoza"
5,2001,"HOMICIDIOS DOLOSOS",118,2433242,4.85,"COA","Coahuila de Zaragoza"
5,2002,"HOMICIDIOS DOLOSOS",131,2472921,5.3,"COA","Coahuila de Zaragoza"
5,2003,"HOMICIDIOS DOLOSOS",116,2512261,4.62,"COA","Coahuila de Zaragoza"
5,2004,"HOMICIDIOS DOLOSOS",103,2550208,4.04,"COA","Coahuila de Zaragoza"
5,2005,"HOMICIDIOS DOLOSOS",139,2587518,5.37,"COA","Coahuila de Zaragoza"
5,2006,"HOMICIDIOS DOLOSOS",109,2625332,4.15,"COA","Coahuila de Zaragoza"
5,2007,"HOMICIDIOS DOLOSOS",121,2664019,4.54,"COA","Coahuila de Zaragoza"
5,2008,"HOMICIDIOS DOLOSOS",179,2703905,6.62,"COA","Coahuila de Zaragoza"
5,2009,"HOMICIDIOS DOLOSOS",240,2743966,8.75,"COA","Coahuila de Zaragoza"
5,2010,"HOMICIDIOS DOLOSOS",407,2782013,14.63,"COA","Coahuila de Zaragoza"
5,2011,"HOMICIDIOS DOLOSOS",660,2818077,23.42,"COA","Coahuila de Zaragoza"
5,2012,"HOMICIDIOS DOLOSOS",771,2854334,27.01,"COA","Coahuila de Zaragoza"
5,2013,"HOMICIDIOS DOLOSOS",645,2890108,22.32,"COA","Coahuila de Zaragoza"
5,2014,"HOMICIDIOS DOLOSOS",390,2925594,13.33,"COA","Coahuila de Zaragoza"
6,1997,"HOMICIDIOS DOLOSOS",99,531965,18.61,"COL","Colima"
6,1998,"HOMICIDIOS DOLOSOS",89,538560,16.53,"COL","Colima"
6,1999,"HOMICIDIOS DOLOSOS",53,544150,9.74,"COL","Colima"
6,2000,"HOMICIDIOS DOLOSOS",45,550291,8.18,"COL","Colima"
6,2001,"HOMICIDIOS DOLOSOS",56,557968,10.04,"COL","Colima"
6,2002,"HOMICIDIOS DOLOSOS",45,566389,7.95,"COL","Colima"
6,2003,"HOMICIDIOS DOLOSOS",34,575411,5.91,"COL","Colima"
6,2004,"HOMICIDIOS DOLOSOS",45,584151,7.7,"COL","Colima"
6,2005,"HOMICIDIOS DOLOSOS",35,593827,5.89,"COL","Colima"
6,2006,"HOMICIDIOS DOLOSOS",31,605061,5.12,"COL","Colima"
6,2007,"HOMICIDIOS DOLOSOS",30,617146,4.86,"COL","Colima"
6,2008,"HOMICIDIOS DOLOSOS",33,630606,5.23,"COL","Colima"
6,2009,"HOMICIDIOS DOLOSOS",52,645050,8.06,"COL","Colima"
6,2010,"HOMICIDIOS DOLOSOS",93,658910,14.11,"COL","Colima"
6,2011,"HOMICIDIOS DOLOSOS",165,672263,24.54,"COL","Colima"
6,2012,"HOMICIDIOS DOLOSOS",287,685394,41.87,"COL","Colima"
6,2013,"HOMICIDIOS DOLOSOS",178,698295,25.49,"COL","Colima"
6,2014,"HOMICIDIOS DOLOSOS",99,710982,13.92,"COL","Colima"
7,1997,"HOMICIDIOS DOLOSOS",1357,3907302,34.73,"CHP","Chiapas"
7,1998,"HOMICIDIOS DOLOSOS",1399,3994325,35.02,"CHP","Chiapas"
7,1999,"HOMICIDIOS DOLOSOS",1452,4083410,35.56,"CHP","Chiapas"
7,2000,"HOMICIDIOS DOLOSOS",1270,4164853,30.49,"CHP","Chiapas"
7,2001,"HOMICIDIOS DOLOSOS",1252,4239830,29.53,"CHP","Chiapas"
7,2002,"HOMICIDIOS DOLOSOS",1056,4318948,24.45,"CHP","Chiapas"
7,2003,"HOMICIDIOS DOLOSOS",921,4397267,20.94,"CHP","Chiapas"
7,2004,"HOMICIDIOS DOLOSOS",787,4476586,17.58,"CHP","Chiapas"
7,2005,"HOMICIDIOS DOLOSOS",415,4549034,9.12,"CHP","Chiapas"
7,2006,"HOMICIDIOS DOLOSOS",358,4616199,7.76,"CHP","Chiapas"
7,2007,"HOMICIDIOS DOLOSOS",358,4688014,7.64,"CHP","Chiapas"
7,2008,"HOMICIDIOS DOLOSOS",326,4762080,6.85,"CHP","Chiapas"
7,2009,"HOMICIDIOS DOLOSOS",499,4836326,10.32,"CHP","Chiapas"
7,2010,"HOMICIDIOS DOLOSOS",513,4903755,10.46,"CHP","Chiapas"
