"state_code","year","group","averiguaciones","population","rate","name","long_name"
1,1997,"OTROS DELITOS",3619,957443,377.99,"AGU","Aguascalientes"
1,1998,"OTROS DELITOS",6305,974940,646.71,"AGU","Aguascalientes"
1,1999,"OTROS DELITOS",7358,991858,741.84,"AGU","Aguascalientes"
1,2000,"OTROS DELITOS",7462,1008447,739.95,"AGU","Aguascalientes"
1,2001,"OTROS DELITOS",7139,1025563,696.11,"AGU","Aguascalientes"
1,2002,"OTROS DELITOS",8398,1043783,804.57,"AGU","Aguascalientes"
1,2003,"OTROS DELITOS",8054,1062250,758.2,"AGU","Aguascalientes"
1,2004,"OTROS DELITOS",8637,1079814,799.86,"AGU","Aguascalientes"
1,2005,"OTROS DELITOS",8524,1096736,777.22,"AGU","Aguascalientes"
1,2006,"OTROS DELITOS",9747,1114099,874.88,"AGU","Aguascalientes"
1,2007,"OTROS DELITOS",11621,1133032,1025.66,"AGU","Aguascalientes"
1,2008,"OTROS DELITOS",11155,1154011,966.63,"AGU","Aguascalientes"
1,2009,"OTROS DELITOS",11494,1175942,977.43,"AGU","Aguascalientes"
1,2010,"OTROS DELITOS",11049,1195787,923.99,"AGU","Aguascalientes"
1,2011,"OTROS DELITOS",10649,1215094,876.39,"AGU","Aguascalientes"
1,2012,"OTROS DELITOS",11955,1233921,968.86,"AGU","Aguascalientes"
1,2013,"OTROS DELITOS",11851,1252265,946.37,"AGU","Aguascalientes"
1,2014,"OTROS DELITOS",11364,1270174,894.68,"AGU","Aguascalientes"
2,1997,"OTROS DELITOS",87233,2306424,3782.18,"BCN","Baja California"
2,1998,"OTROS DELITOS",73685,2387650,3086.09,"BCN","Baja California"
2,1999,"OTROS DELITOS",68035,2469220,2755.32,"BCN","Baja California"
2,2000,"OTROS DELITOS",56070,2549842,2198.96,"BCN","Baja California"
2,2001,"OTROS DELITOS",57785,2627368,2199.35,"BCN","Baja California"
2,2002,"OTROS DELITOS",54622,2702832,2020.92,"BCN","Baja California"
2,2003,"OTROS DELITOS",50635,2775926,1824.08,"BCN","Baja California"
2,2004,"OTROS DELITOS",57181,2845936,2009.22,"BCN","Baja California"
2,2005,"OTROS DELITOS",48352,2912674,1660.06,"BCN","Baja California"
2,2006,"OTROS DELITOS",51629,2977440,1734.01,"BCN","Baja California"
2,2007,"OTROS DELITOS",55333,3041783,1819.1,"BCN","Baja California"
2,2008,"OTROS DELITOS",57188,3105709,1841.38,"BCN","Baja California"
2,2009,"OTROS DELITOS",52882,3168319,1669.09,"BCN","Baja California"
2,2010,"OTROS DELITOS",46269,3224844,1434.77,"BCN","Baja California"
2,2011,"OTROS DELITOS",43733,3275399,1335.2,"BCN","Baja California"
2,2012,"OTROS DELITOS",43944,3328623,1320.19,"BCN","Baja California"
2,2013,"OTROS DELITOS",45395,3381080,1342.62,"BCN","Baja California"
2,2014,"OTROS DELITOS",51237,3432944,1492.51,"BCN","Baja California"
3,1997,"OTROS DELITOS",7511,426653,1760.45,"BCS","Baja California Sur"
3,1998,"OTROS DELITOS",7117,439911,1617.83,"BCS","Baja California Sur"
3,1999,"OTROS DELITOS",7174,453340,1582.48,"BCS","Baja California Sur"
3,2000,"OTROS DELITOS",8016,466455,1718.49,"BCS","Baja California Sur"
3,2001,"OTROS DELITOS",7097,480190,1477.96,"BCS","Baja California Sur"
3,2002,"OTROS DELITOS",7563,495522,1526.27,"BCS","Baja California Sur"
3,2003,"OTROS DELITOS",7784,511831,1520.81,"BCS","Baja California Sur"
3,2004,"OTROS DELITOS",7686,529124,1452.59,"BCS","Baja California Sur"
3,2005,"OTROS DELITOS",8657,546776,1583.28,"BCS","Baja California Sur"
3,2006,"OTROS DELITOS",8792,565024,1556.04,"BCS","Baja California Sur"
3,2007,"OTROS DELITOS",10947,584639,1872.44,"BCS","Baja California Sur"
3,2008,"OTROS DELITOS",11034,605343,1822.77,"BCS","Baja California Sur"
3,2009,"OTROS DELITOS",10096,626900,1610.46,"BCS","Baja California Sur"
3,2010,"OTROS DELITOS",9125,649616,1404.68,"BCS","Baja California Sur"
3,2011,"OTROS DELITOS",9900,672682,1471.72,"BCS","Baja California Sur"
3,2012,"OTROS DELITOS",11490,695409,1652.27,"BCS","Baja California Sur"
3,2013,"OTROS DELITOS",12914,718196,1798.12,"BCS","Baja California Sur"
3,2014,"OTROS DELITOS",12739,741037,1719.08,"BCS","Baja California Sur"
4,1997,"OTROS DELITOS",6730,659417,1020.6,"CAM","Campeche"
4,1998,"OTROS DELITOS",7770,673672,1153.38,"CAM","Campeche"
4,1999,"OTROS DELITOS",6070,687422,883.01,"CAM","Campeche"
4,2000,"OTROS DELITOS",4338,700708,619.09,"CAM","Campeche"
4,2001,"OTROS DELITOS",2915,714008,408.26,"CAM","Campeche"
4,2002,"OTROS DELITOS",1873,727546,257.44,"CAM","Campeche"
4,2003,"OTROS DELITOS",1375,741113,185.53,"CAM","Campeche"
4,2004,"OTROS DELITOS",1240,754622,164.32,"CAM","Campeche"
4,2005,"OTROS DELITOS",887,768097,115.48,"CAM","Campeche"
4,2006,"OTROS DELITOS",1062,781620,135.87,"CAM","Campeche"
4,2007,"OTROS DELITOS",1011,795450,127.1,"CAM","Campeche"
4,2008,"OTROS DELITOS",910,809636,112.4,"CAM","Campeche"
4,2009,"OTROS DELITOS",785,824071,95.26,"CAM","Campeche"
4,2010,"OTROS DELITOS",1046,836748,125.01,"CAM","Campeche"
4,2011,"OTROS DELITOS",1583,852373,185.72,"CAM","Campeche"
4,2012,"OTROS DELITOS",576,866375,66.48,"CAM","Campeche"
4,2013,"OTROS DELITOS",807,880299,91.67,"CAM","Campeche"
4,2014,"OTROS DELITOS",950,894136,106.25,"CAM","Campeche"
5,1997,"OTROS DELITOS",14606,2276268,641.66,"COA","Coahuila de Zaragoza"
5,1998,"OTROS DELITOS",11209,2315412,484.1,"COA","Coahuila de Zaragoza"
5,1999,"OTROS DELITOS",12680,2354430,538.56,"COA","Coahuila de Zaragoza"
5,2000,"OTROS DELITOS",17463,2393756,729.52,"COA","Coahuila de Zaragoza"
5,2001,"OTROS DELITOS",19785,2433242,813.11,"COA","Coahuila de Zaragoza"
5,2002,"OTROS DELITOS",18349,2472921,742,"COA","Coahuila de Zaragoza"
5,2003,"OTROS DELITOS",18851,2512261,750.36,"COA","Coahuila de Zaragoza"
5,2004,"OTROS DELITOS",18360,2550208,719.94,"COA","Coahuila de Zaragoza"
5,2005,"OTROS DELITOS",14983,2587518,579.05,"COA","Coahuila de Zaragoza"
5,2006,"OTROS DELITOS",16501,2625332,628.53,"COA","Coahuila de Zaragoza"
5,2007,"OTROS DELITOS",20683,2664019,776.38,"COA","Coahuila de Zaragoza"
5,2008,"OTROS DELITOS",26141,2703905,966.79,"COA","Coahuila de Zaragoza"
5,2009,"OTROS DELITOS",27735,2743966,1010.76,"COA","Coahuila de Zaragoza"
5,2010,"OTROS DELITOS",24858,2782013,893.53,"COA","Coahuila de Zaragoza"
5,2011,"OTROS DELITOS",25969,2818077,921.51,"COA","Coahuila de Zaragoza"
5,2012,"OTROS DELITOS",25006,2854334,876.07,"COA","Coahuila de Zaragoza"
5,2013,"OTROS DELITOS",27440,2890108,949.45,"COA","Coahuila de Zaragoza"
5,2014,"OTROS DELITOS",32529,2925594,1111.88,"COA","Coahuila de Zaragoza"
6,1997,"OTROS DELITOS",9431,531965,1772.86,"COL","Colima"
6,1998,"OTROS DELITOS",9405,538560,1746.32,"COL","Colima"
6,1999,"OTROS DELITOS",3648,544150,670.4,"COL","Colima"
6,2000,"OTROS DELITOS",3275,550291,595.14,"COL","Colima"
6,2001,"OTROS DELITOS",3448,557968,617.96,"COL","Colima"
6,2002,"OTROS DELITOS",3462,566389,611.24,"COL","Colima"
6,2003,"OTROS DELITOS",3526,575411,612.78,"COL","Colima"
6,2004,"OTROS DELITOS",3680,584151,629.97,"COL","Colima"
6,2005,"OTROS DELITOS",6959,593827,1171.89,"COL","Colima"
6,2006,"OTROS DELITOS",7001,605061,1157.07,"COL","Colima"
6,2007,"OTROS DELITOS",7536,617146,1221.1,"COL","Colima"
6,2008,"OTROS DELITOS",6278,630606,995.55,"COL","Colima"
6,2009,"OTROS DELITOS",6147,645050,952.95,"COL","Colima"
6,2010,"OTROS DELITOS",4349,658910,660.03,"COL","Colima"
6,2011,"OTROS DELITOS",4294,672263,638.74,"COL","Colima"
6,2012,"OTROS DELITOS",5624,685394,820.55,"COL","Colima"
6,2013,"OTROS DELITOS",5939,698295,850.5,"COL","Colima"
6,2014,"OTROS DELITOS",5585,710982,785.53,"COL","Colima"
7,1997,"OTROS DELITOS",23397,3907302,598.8,"CHP","Chiapas"
7,1998,"OTROS DELITOS",21152,3994325,529.55,"CHP","Chiapas"
7,1999,"OTROS DELITOS",22688,4083410,555.61,"CHP","Chiapas"
7,2000,"OTROS DELITOS",21251,4164853,510.25,"CHP","Chiapas"
7,2001,"OTROS DELITOS",24782,4239830,584.5,"CHP","Chiapas"
7,2002,"OTROS DELITOS",25006,4318948,578.98,"CHP","Chiapas"
7,2003,"OTROS DELITOS",24338,4397267,553.48,"CHP","Chiapas"
7,2004,"OTROS DELITOS",25569,4476586,571.17,"CHP","Chiapas"
7,2005,"OTROS DELITOS",22392,4549034,492.24,"CHP","Chiapas"
7,2006,"OTROS DELITOS",20125,4616199,435.96,"CHP","Chiapas"
7,2007,"OTROS DELITOS",21924,4688014,467.66,"CHP","Chiapas"
7,2008,"OTROS DELITOS",17337,4762080,364.06,"CHP","Chiapas"
7,2009,"OTROS DELITOS",13070,4836326,270.25,"CHP","Chiapas"
7,2010,"OTROS DELITOS",14010,4903755,285.7,"CHP","Chiapas"
7,2011,"OTROS DELITOS",14101,4980633,283.12,"CHP","Chiapas"
7,2012,"OTROS DELITOS",13240,5050568,262.15,"CHP","Chiapas"
7,2013,"OTROS DELITOS",13552,5119186,264.73,"CHP","Chiapas"
7,2014,"OTROS DELITOS",12311,5186572,237.36,"CHP","Chiapas"
8,1997,"OTROS DELITOS",42718,2810765,1519.8,"CHH","Chihuahua"
8,1998,"OTROS DELITOS",41799,2868346,1457.25,"CHH","Chihuahua"
8,1999,"OTROS DELITOS",34300,2926998,1171.85,"CHH","Chihuahua"
8,2000,"OTROS DELITOS",29617,2987927,991.22,"CHH","Chihuahua"
8,2001,"OTROS DELITOS",34496,3048688,1131.5,"CHH","Chihuahua"
8,2002,"OTROS DELITOS",36908,3107892,1187.56,"CHH","Chihuahua"
