"state_code","year","group","averiguaciones","population","rate","name","long_name"
1,1997,"ROBO",4922,957443,514.08,"AGU","Aguascalientes"
1,1998,"ROBO",3401,974940,348.84,"AGU","Aguascalientes"
1,1999,"ROBO",3625,991858,365.48,"AGU","Aguascalientes"
1,2000,"ROBO",3121,1008447,309.49,"AGU","Aguascalientes"
1,2001,"ROBO",3655,1025563,356.39,"AGU","Aguascalientes"
1,2002,"ROBO",3364,1043783,322.29,"AGU","Aguascalientes"
1,2003,"ROBO",3888,1062250,366.02,"AGU","Aguascalientes"
1,2004,"ROBO",3471,1079814,321.44,"AGU","Aguascalientes"
1,2005,"ROBO",3349,1096736,305.36,"AGU","Aguascalientes"
1,2006,"ROBO",4211,1114099,377.97,"AGU","Aguascalientes"
1,2007,"ROBO",6374,1133032,562.56,"AGU","Aguascalientes"
1,2008,"ROBO",7776,1154011,673.82,"AGU","Aguascalientes"
1,2009,"ROBO",8431,1175942,716.96,"AGU","Aguascalientes"
1,2010,"ROBO",8703,1195787,727.81,"AGU","Aguascalientes"
1,2011,"ROBO",12608,1215094,1037.62,"AGU","Aguascalientes"
1,2012,"ROBO",11652,1233921,944.31,"AGU","Aguascalientes"
1,2013,"ROBO",9932,1252265,793.12,"AGU","Aguascalientes"
1,2014,"ROBO",9443,1270174,743.44,"AGU","Aguascalientes"
2,1997,"ROBO",60305,2306424,2614.65,"BCN","Baja California"
2,1998,"ROBO",68603,2387650,2873.24,"BCN","Baja California"
2,1999,"ROBO",63015,2469220,2552.02,"BCN","Baja California"
2,2000,"ROBO",52601,2549842,2062.91,"BCN","Baja California"
2,2001,"ROBO",46945,2627368,1786.77,"BCN","Baja California"
2,2002,"ROBO",44164,2702832,1633.99,"BCN","Baja California"
2,2003,"ROBO",44403,2775926,1599.57,"BCN","Baja California"
2,2004,"ROBO",53983,2845936,1896.85,"BCN","Baja California"
2,2005,"ROBO",51778,2912674,1777.68,"BCN","Baja California"
2,2006,"ROBO",59439,2977440,1996.31,"BCN","Baja California"
2,2007,"ROBO",72838,3041783,2394.58,"BCN","Baja California"
2,2008,"ROBO",75075,3105709,2417.32,"BCN","Baja California"
2,2009,"ROBO",68707,3168319,2168.56,"BCN","Baja California"
2,2010,"ROBO",63017,3224844,1954.11,"BCN","Baja California"
2,2011,"ROBO",70175,3275399,2142.49,"BCN","Baja California"
2,2012,"ROBO",63286,3328623,1901.27,"BCN","Baja California"
2,2013,"ROBO",57115,3381080,1689.25,"BCN","Baja California"
2,2014,"ROBO",54174,3432944,1578.06,"BCN","Baja California"
3,1997,"ROBO",5518,426653,1293.32,"BCS","Baja California Sur"
3,1998,"ROBO",4894,439911,1112.5,"BCS","Baja California Sur"
3,1999,"ROBO",5063,453340,1116.82,"BCS","Baja California Sur"
3,2000,"ROBO",5208,466455,1116.51,"BCS","Baja California Sur"
3,2001,"ROBO",5774,480190,1202.44,"BCS","Baja California Sur"
3,2002,"ROBO",5942,495522,1199.14,"BCS","Baja California Sur"
3,2003,"ROBO",5347,511831,1044.68,"BCS","Baja California Sur"
3,2004,"ROBO",6060,529124,1145.29,"BCS","Baja California Sur"
3,2005,"ROBO",8108,546776,1482.87,"BCS","Baja California Sur"
3,2006,"ROBO",7725,565024,1367.2,"BCS","Baja California Sur"
3,2007,"ROBO",8596,584639,1470.31,"BCS","Baja California Sur"
3,2008,"ROBO",8387,605343,1385.5,"BCS","Baja California Sur"
3,2009,"ROBO",5973,626900,952.78,"BCS","Baja California Sur"
3,2010,"ROBO",6429,649616,989.66,"BCS","Baja California Sur"
3,2011,"ROBO",8311,672682,1235.5,"BCS","Baja California Sur"
3,2012,"ROBO",9174,695409,1319.22,"BCS","Baja California Sur"
3,2013,"ROBO",10434,718196,1452.81,"BCS","Baja California Sur"
3,2014,"ROBO",9406,741037,1269.3,"BCS","Baja California Sur"
4,1997,"ROBO",2991,659417,453.58,"CAM","Campeche"
4,1998,"ROBO",2741,673672,406.87,"CAM","Campeche"
4,1999,"ROBO",2282,687422,331.96,"CAM","Campeche"
4,2000,"ROBO",1382,700708,197.23,"CAM","Campeche"
4,2001,"ROBO",911,714008,127.59,"CAM","Campeche"
4,2002,"ROBO",779,727546,107.07,"CAM","Campeche"
4,2003,"ROBO",573,741113,77.32,"CAM","Campeche"
4,2004,"ROBO",447,754622,59.23,"CAM","Campeche"
4,2005,"ROBO",449,768097,58.46,"CAM","Campeche"
4,2006,"ROBO",662,781620,84.7,"CAM","Campeche"
4,2007,"ROBO",417,795450,52.42,"CAM","Campeche"
4,2008,"ROBO",438,809636,54.1,"CAM","Campeche"
4,2009,"ROBO",540,824071,65.53,"CAM","Campeche"
4,2010,"ROBO",753,836748,89.99,"CAM","Campeche"
4,2011,"ROBO",624,852373,73.21,"CAM","Campeche"
4,2012,"ROBO",407,866375,46.98,"CAM","Campeche"
4,2013,"ROBO",714,880299,81.11,"CAM","Campeche"
4,2014,"ROBO",712,894136,79.63,"CAM","Campeche"
5,1997,"ROBO",10414,2276268,457.5,"COA","Coahuila de Zaragoza"
5,1998,"ROBO",7052,2315412,304.57,"COA","Coahuila de Zaragoza"
5,1999,"ROBO",6436,2354430,273.36,"COA","Coahuila de Zaragoza"
5,2000,"ROBO",8345,2393756,348.62,"COA","Coahuila de Zaragoza"
5,2001,"ROBO",9128,2433242,375.14,"COA","Coahuila de Zaragoza"
5,2002,"ROBO",8224,2472921,332.56,"COA","Coahuila de Zaragoza"
5,2003,"ROBO",8785,2512261,349.69,"COA","Coahuila de Zaragoza"
5,2004,"ROBO",9935,2550208,389.58,"COA","Coahuila de Zaragoza"
5,2005,"ROBO",9412,2587518,363.75,"COA","Coahuila de Zaragoza"
5,2006,"ROBO",9916,2625332,377.7,"COA","Coahuila de Zaragoza"
5,2007,"ROBO",11662,2664019,437.76,"COA","Coahuila de Zaragoza"
5,2008,"ROBO",17299,2703905,639.78,"COA","Coahuila de Zaragoza"
5,2009,"ROBO",21277,2743966,775.41,"COA","Coahuila de Zaragoza"
5,2010,"ROBO",23881,2782013,858.41,"COA","Coahuila de Zaragoza"
5,2011,"ROBO",21747,2818077,771.7,"COA","Coahuila de Zaragoza"
5,2012,"ROBO",22346,2854334,782.88,"COA","Coahuila de Zaragoza"
5,2013,"ROBO",20712,2890108,716.65,"COA","Coahuila de Zaragoza"
5,2014,"ROBO",17966,2925594,614.1,"COA","Coahuila de Zaragoza"
6,1997,"ROBO",4632,531965,870.73,"COL","Colima"
6,1998,"ROBO",4114,538560,763.89,"COL","Colima"
6,1999,"ROBO",1239,544150,227.69,"COL","Colima"
6,2000,"ROBO",984,550291,178.81,"COL","Colima"
6,2001,"ROBO",1130,557968,202.52,"COL","Colima"
6,2002,"ROBO",1215,566389,214.52,"COL","Colima"
