"state_code","year","group","averiguaciones","population","rate","name","long_name"
1,1997,"ROBO DE VEHICULOS",192,966192,19.87,"AGS","Aguascalientes"
1,1998,"ROBO DE VEHICULOS",510,983399,51.86,"AGS","Aguascalientes"
1,1999,"ROBO DE VEHICULOS",705,1000152,70.49,"AGS","Aguascalientes"
1,2000,"ROBO DE VEHICULOS",573,1017005,56.34,"AGS","Aguascalientes"
1,2001,"ROBO DE VEHICULOS",626,1034673,60.5,"AGS","Aguascalientes"
1,2002,"ROBO DE VEHICULOS",477,1053016,45.3,"AGS","Aguascalientes"
1,2003,"ROBO DE VEHICULOS",537,1071032,50.14,"AGS","Aguascalientes"
1,2004,"ROBO DE VEHICULOS",494,1088275,45.39,"AGS","Aguascalientes"
1,2005,"ROBO DE VEHICULOS",524,1105418,47.4,"AGS","Aguascalientes"
1,2006,"ROBO DE VEHICULOS",416,1123566,37.02,"AGS","Aguascalientes"
1,2007,"ROBO DE VEHICULOS",584,1143522,51.07,"AGS","Aguascalientes"
1,2008,"ROBO DE VEHICULOS",1711,1164976,146.87,"AGS","Aguascalientes"
1,2009,"ROBO DE VEHICULOS",2199,1185864,185.43,"AGS","Aguascalientes"
1,2010,"ROBO DE VEHICULOS",2608,1205440,216.35,"AGS","Aguascalientes"
1,2011,"ROBO DE VEHICULOS",2068,1224508,168.88,"AGS","Aguascalientes"
1,2012,"ROBO DE VEHICULOS",1978,1243093,159.12,"AGS","Aguascalientes"
1,2013,"ROBO DE VEHICULOS",1510,1261220,119.73,"AGS","Aguascalientes"
2,1997,"ROBO DE VEHICULOS",10345,2347037,440.77,"BC","Baja California"
2,1998,"ROBO DE VEHICULOS",29143,2428435,1200.07,"BC","Baja California"
2,1999,"ROBO DE VEHICULOS",25696,2509531,1023.94,"BC","Baja California"
2,2000,"ROBO DE VEHICULOS",29532,2588605,1140.85,"BC","Baja California"
2,2001,"ROBO DE VEHICULOS",22736,2665100,853.1,"BC","Baja California"
2,2002,"ROBO DE VEHICULOS",23384,2739379,853.62,"BC","Baja California"
2,2003,"ROBO DE VEHICULOS",24873,2810931,884.87,"BC","Baja California"
2,2004,"ROBO DE VEHICULOS",28296,2879305,982.74,"BC","Baja California"
2,2005,"ROBO DE VEHICULOS",28076,2945057,953.33,"BC","Baja California"
2,2006,"ROBO DE VEHICULOS",28130,3009612,934.67,"BC","Baja California"
2,2007,"ROBO DE VEHICULOS",33720,3073746,1097.03,"BC","Baja California"
2,2008,"ROBO DE VEHICULOS",32809,3137014,1045.87,"BC","Baja California"
2,2009,"ROBO DE VEHICULOS",24989,3196582,781.74,"BC","Baja California"
