"state_code","year","group","averiguaciones","population","rate","name","long_name"
1,1997,"ROBO CON VIOLENCIA",1155,966192,119.54,"AGS","Aguascalientes"
1,1998,"ROBO CON VIOLENCIA",2848,983399,289.61,"AGS","Aguascalientes"
1,1999,"ROBO CON VIOLENCIA",473,1000152,47.29,"AGS","Aguascalientes"
1,2000,"ROBO CON VIOLENCIA",250,1017005,24.58,"AGS","Aguascalientes"
1,2001,"ROBO CON VIOLENCIA",293,1034673,28.32,"AGS","Aguascalientes"
1,2002,"ROBO CON VIOLENCIA",241,1053016,22.89,"AGS","Aguascalientes"
1,2003,"ROBO CON VIOLENCIA",298,1071032,27.82,"AGS","Aguascalientes"
1,2004,"ROBO CON VIOLENCIA",287,1088275,26.37,"AGS","Aguascalientes"
1,2005,"ROBO CON VIOLENCIA",225,1105418,20.35,"AGS","Aguascalientes"
1,2006,"ROBO CON VIOLENCIA",281,1123566,25.01,"AGS","Aguascalientes"
1,2007,"ROBO CON VIOLENCIA",377,1143522,32.97,"AGS","Aguascalientes"
1,2008,"ROBO CON VIOLENCIA",679,1164976,58.28,"AGS","Aguascalientes"
1,2009,"ROBO CON VIOLENCIA",793,1185864,66.87,"AGS","Aguascalientes"
1,2010,"ROBO CON VIOLENCIA",568,1205440,47.12,"AGS","Aguascalientes"
1,2011,"ROBO CON VIOLENCIA",791,1224508,64.6,"AGS","Aguascalientes"
1,2012,"ROBO CON VIOLENCIA",984,1243093,79.16,"AGS","Aguascalientes"
1,2013,"ROBO CON VIOLENCIA",868,1261220,68.82,"AGS","Aguascalientes"
2,1997,"ROBO CON VIOLENCIA",7142,2347037,304.3,"BC","Baja California"
2,1998,"ROBO CON VIOLENCIA",27774,2428435,1143.7,"BC","Baja California"
2,1999,"ROBO CON VIOLENCIA",26221,2509531,1044.86,"BC","Baja California"
2,2000,"ROBO CON VIOLENCIA",15977,2588605,617.21,"BC","Baja California"
2,2001,"ROBO CON VIOLENCIA",17828,2665100,668.94,"BC","Baja California"
2,2002,"ROBO CON VIOLENCIA",13178,2739379,481.06,"BC","Baja California"
2,2003,"ROBO CON VIOLENCIA",10663,2810931,379.34,"BC","Baja California"
2,2004,"ROBO CON VIOLENCIA",5533,2879305,192.16,"BC","Baja California"
2,2005,"ROBO CON VIOLENCIA",4398,2945057,149.33,"BC","Baja California"
2,2006,"ROBO CON VIOLENCIA",5158,3009612,171.38,"BC","Baja California"
2,2007,"ROBO CON VIOLENCIA",8920,3073746,290.2,"BC","Baja California"
2,2008,"ROBO CON VIOLENCIA",11833,3137014,377.21,"BC","Baja California"
2,2009,"ROBO CON VIOLENCIA",14555,3196582,455.33,"BC","Baja California"
2,2010,"ROBO CON VIOLENCIA",11793,3250122,362.85,"BC","Baja California"
2,2011,"ROBO CON VIOLENCIA",11404,3302011,345.37,"BC","Baja California"
2,2012,"ROBO CON VIOLENCIA",9524,3354852,283.89,"BC","Baja California"
2,2013,"ROBO CON VIOLENCIA",9565,3407012,280.74,"BC","Baja California"
3,1997,"ROBO CON VIOLENCIA",629,433282,145.17,"BCS","Baja California Sur"
3,1998,"ROBO CON VIOLENCIA",179,446626,40.08,"BCS","Baja California Sur"
3,1999,"ROBO CON VIOLENCIA",192,459898,41.75,"BCS","Baja California Sur"
3,2000,"ROBO CON VIOLENCIA",249,473322,52.61,"BCS","Baja California Sur"
3,2001,"ROBO CON VIOLENCIA",217,487856,44.48,"BCS","Baja California Sur"
3,2002,"ROBO CON VIOLENCIA",204,503676,40.5,"BCS","Baja California Sur"
3,2003,"ROBO CON VIOLENCIA",189,520478,36.31,"BCS","Baja California Sur"
3,2004,"ROBO CON VIOLENCIA",191,537950,35.51,"BCS","Baja California Sur"
3,2005,"ROBO CON VIOLENCIA",212,555900,38.14,"BCS","Baja California Sur"
3,2006,"ROBO CON VIOLENCIA",262,574832,45.58,"BCS","Baja California Sur"
3,2007,"ROBO CON VIOLENCIA",311,594991,52.27,"BCS","Baja California Sur"
3,2008,"ROBO CON VIOLENCIA",528,616122,85.7,"BCS","Baja California Sur"
3,2009,"ROBO CON VIOLENCIA",454,638258,71.13,"BCS","Baja California Sur"
3,2010,"ROBO CON VIOLENCIA",464,661149,70.18,"BCS","Baja California Sur"
3,2011,"ROBO CON VIOLENCIA",542,684046,79.23,"BCS","Baja California Sur"
3,2012,"ROBO CON VIOLENCIA",727,706802,102.86,"BCS","Baja California Sur"
3,2013,"ROBO CON VIOLENCIA",646,729616,88.54,"BCS","Baja California Sur"
4,1997,"ROBO CON VIOLENCIA",615,666544,92.27,"CAM","Campeche"
4,1998,"ROBO CON VIOLENCIA",748,680547,109.91,"CAM","Campeche"
4,1999,"ROBO CON VIOLENCIA",533,694065,76.79,"CAM","Campeche"
4,2000,"ROBO CON VIOLENCIA",428,707358,60.51,"CAM","Campeche"
4,2001,"ROBO CON VIOLENCIA",192,720777,26.64,"CAM","Campeche"
4,2002,"ROBO CON VIOLENCIA",175,734330,23.83,"CAM","Campeche"
4,2003,"ROBO CON VIOLENCIA",115,747868,15.38,"CAM","Campeche"
4,2004,"ROBO CON VIOLENCIA",78,761360,10.24,"CAM","Campeche"
4,2005,"ROBO CON VIOLENCIA",132,774858,17.04,"CAM","Campeche"
4,2006,"ROBO CON VIOLENCIA",273,788535,34.62,"CAM","Campeche"
4,2007,"ROBO CON VIOLENCIA",182,802543,22.68,"CAM","Campeche"
4,2008,"ROBO CON VIOLENCIA",141,816854,17.26,"CAM","Campeche"
4,2009,"ROBO CON VIOLENCIA",177,830410,21.31,"CAM","Campeche"
4,2010,"ROBO CON VIOLENCIA",170,844560,20.13,"CAM","Campeche"
4,2011,"ROBO CON VIOLENCIA",135,859374,15.71,"CAM","Campeche"
4,2012,"ROBO CON VIOLENCIA",115,873337,13.17,"CAM","Campeche"
4,2013,"ROBO CON VIOLENCIA",243,887218,27.39,"CAM","Campeche"
5,1997,"ROBO CON VIOLENCIA",2652,2295840,115.51,"COA","Coahuila de Zaragoza"
5,1998,"ROBO CON VIOLENCIA",1366,2334921,58.5,"COA","Coahuila de Zaragoza"
5,1999,"ROBO CON VIOLENCIA",1098,2374093,46.25,"COA","Coahuila de Zaragoza"
5,2000,"ROBO CON VIOLENCIA",893,2413499,37,"COA","Coahuila de Zaragoza"
5,2001,"ROBO CON VIOLENCIA",839,2453082,34.2,"COA","Coahuila de Zaragoza"
5,2002,"ROBO CON VIOLENCIA",648,2492591,26,"COA","Coahuila de Zaragoza"
5,2003,"ROBO CON VIOLENCIA",703,2531234,27.77,"COA","Coahuila de Zaragoza"
5,2004,"ROBO CON VIOLENCIA",787,2568863,30.64,"COA","Coahuila de Zaragoza"
5,2005,"ROBO CON VIOLENCIA",711,2606425,27.28,"COA","Coahuila de Zaragoza"
5,2006,"ROBO CON VIOLENCIA",695,2644676,26.28,"COA","Coahuila de Zaragoza"
5,2007,"ROBO CON VIOLENCIA",811,2683962,30.22,"COA","Coahuila de Zaragoza"
5,2008,"ROBO CON VIOLENCIA",1571,2723936,57.67,"COA","Coahuila de Zaragoza"
5,2009,"ROBO CON VIOLENCIA",2143,2762990,77.56,"COA","Coahuila de Zaragoza"
5,2010,"ROBO CON VIOLENCIA",2850,2800045,101.78,"COA","Coahuila de Zaragoza"
5,2011,"ROBO CON VIOLENCIA",2983,2836206,105.18,"COA","Coahuila de Zaragoza"
5,2012,"ROBO CON VIOLENCIA",3280,2872221,114.2,"COA","Coahuila de Zaragoza"
5,2013,"ROBO CON VIOLENCIA",3895,2907851,133.95,"COA","Coahuila de Zaragoza"
6,1997,"ROBO CON VIOLENCIA",2550,535262,476.4,"COL","Colima"
6,1998,"ROBO CON VIOLENCIA",1758,541355,324.74,"COL","Colima"
6,1999,"ROBO CON VIOLENCIA",380,547220,69.44,"COL","Colima"
6,2000,"ROBO CON VIOLENCIA",315,554130,56.85,"COL","Colima"
6,2001,"ROBO CON VIOLENCIA",328,562178,58.34,"COL","Colima"
6,2002,"ROBO CON VIOLENCIA",325,570900,56.93,"COL","Colima"
6,2003,"ROBO CON VIOLENCIA",278,579781,47.95,"COL","Colima"
6,2004,"ROBO CON VIOLENCIA",735,588989,124.79,"COL","Colima"
6,2005,"ROBO CON VIOLENCIA",714,599444,119.11,"COL","Colima"
6,2006,"ROBO CON VIOLENCIA",626,611104,102.44,"COL","Colima"
6,2007,"ROBO CON VIOLENCIA",713,623876,114.29,"COL","Colima"
6,2008,"ROBO CON VIOLENCIA",556,637828,87.17,"COL","Colima"
6,2009,"ROBO CON VIOLENCIA",833,651980,127.76,"COL","Colima"
6,2010,"ROBO CON VIOLENCIA",1188,665586,178.49,"COL","Colima"
6,2011,"ROBO CON VIOLENCIA",862,678828,126.98,"COL","Colima"
6,2012,"ROBO CON VIOLENCIA",1299,691844,187.76,"COL","Colima"
6,2013,"ROBO CON VIOLENCIA",1256,704638,178.25,"COL","Colima"
7,1997,"ROBO CON VIOLENCIA",4221,3950814,106.84,"CHIS","Chiapas"
7,1998,"ROBO CON VIOLENCIA",2000,4038868,49.52,"CHIS","Chiapas"
7,1999,"ROBO CON VIOLENCIA",2795,4124132,67.77,"CHIS","Chiapas"
7,2000,"ROBO CON VIOLENCIA",2959,4202342,70.41,"CHIS","Chiapas"
7,2001,"ROBO CON VIOLENCIA",4175,4279389,97.56,"CHIS","Chiapas"
7,2002,"ROBO CON VIOLENCIA",4293,4358108,98.51,"CHIS","Chiapas"
7,2003,"ROBO CON VIOLENCIA",4190,4436926,94.43,"CHIS","Chiapas"
7,2004,"ROBO CON VIOLENCIA",4041,4512810,89.55,"CHIS","Chiapas"
7,2005,"ROBO CON VIOLENCIA",3504,4582616,76.46,"CHIS","Chiapas"
7,2006,"ROBO CON VIOLENCIA",3147,4652106,67.65,"CHIS","Chiapas"
7,2007,"ROBO CON VIOLENCIA",3735,4725047,79.05,"CHIS","Chiapas"
7,2008,"ROBO CON VIOLENCIA",3538,4799203,73.72,"CHIS","Chiapas"
7,2009,"ROBO CON VIOLENCIA",1964,4870040,40.33,"CHIS","Chiapas"
7,2010,"ROBO CON VIOLENCIA",3069,4942194,62.1,"CHIS","Chiapas"
7,2011,"ROBO CON VIOLENCIA",4074,5015600,81.23,"CHIS","Chiapas"
7,2012,"ROBO CON VIOLENCIA",3800,5084877,74.73,"CHIS","Chiapas"
