"state_code","year","group","averiguaciones","population","rate","name","long_name"
1,1997,"SECUESTRO",7,957443,0.73,"AGU","Aguascalientes"
1,1998,"SECUESTRO",6,974940,0.62,"AGU","Aguascalientes"
1,1999,"SECUESTRO",2,991858,0.2,"AGU","Aguascalientes"
1,2000,"SECUESTRO",1,1008447,0.1,"AGU","Aguascalientes"
1,2001,"SECUESTRO",0,1025563,0,"AGU","Aguascalientes"
1,2002,"SECUESTRO",2,1043783,0.19,"AGU","Aguascalientes"
1,2003,"SECUESTRO",0,1062250,0,"AGU","Aguascalientes"
1,2004,"SECUESTRO",4,1079814,0.37,"AGU","Aguascalientes"
1,2005,"SECUESTRO",0,1096736,0,"AGU","Aguascalientes"
1,2006,"SECUESTRO",1,1114099,0.09,"AGU","Aguascalientes"
1,2007,"SECUESTRO",17,1133032,1.5,"AGU","Aguascalientes"
1,2008,"SECUESTRO",22,1154011,1.91,"AGU","Aguascalientes"
1,2009,"SECUESTRO",16,1175942,1.36,"AGU","Aguascalientes"
1,2010,"SECUESTRO",10,1195787,0.84,"AGU","Aguascalientes"
1,2011,"SECUESTRO",7,1215094,0.58,"AGU","Aguascalientes"
1,2012,"SECUESTRO",0,1233921,0,"AGU","Aguascalientes"
1,2013,"SECUESTRO",1,1252265,0.08,"AGU","Aguascalientes"
1,2014,"SECUESTRO",1,1270174,0.08,"AGU","Aguascalientes"
2,1997,"SECUESTRO",28,2306424,1.21,"BCN","Baja California"
2,1998,"SECUESTRO",72,2387650,3.02,"BCN","Baja California"
2,1999,"SECUESTRO",23,2469220,0.93,"BCN","Baja California"
2,2000,"SECUESTRO",47,2549842,1.84,"BCN","Baja California"
2,2001,"SECUESTRO",25,2627368,0.95,"BCN","Baja California"
2,2002,"SECUESTRO",22,2702832,0.81,"BCN","Baja California"
2,2003,"SECUESTRO",20,2775926,0.72,"BCN","Baja California"
2,2004,"SECUESTRO",9,2845936,0.32,"BCN","Baja California"
2,2005,"SECUESTRO",9,2912674,0.31,"BCN","Baja California"
2,2006,"SECUESTRO",38,2977440,1.28,"BCN","Baja California"
2,2007,"SECUESTRO",20,3041783,0.66,"BCN","Baja California"
2,2008,"SECUESTRO",115,3105709,3.7,"BCN","Baja California"
2,2009,"SECUESTRO",103,3168319,3.25,"BCN","Baja California"
2,2010,"SECUESTRO",79,3224844,2.45,"BCN","Baja California"
2,2011,"SECUESTRO",64,3275399,1.95,"BCN","Baja California"
2,2012,"SECUESTRO",30,3328623,0.9,"BCN","Baja California"
2,2013,"SECUESTRO",33,3381080,0.98,"BCN","Baja California"
2,2014,"SECUESTRO",41,3432944,1.19,"BCN","Baja California"
3,1997,"SECUESTRO",1,426653,0.23,"BCS","Baja California Sur"
3,1998,"SECUESTRO",5,439911,1.14,"BCS","Baja California Sur"
3,1999,"SECUESTRO",5,453340,1.1,"BCS","Baja California Sur"
3,2000,"SECUESTRO",1,466455,0.21,"BCS","Baja California Sur"
3,2001,"SECUESTRO",2,480190,0.42,"BCS","Baja California Sur"
3,2002,"SECUESTRO",0,495522,0,"BCS","Baja California Sur"
3,2003,"SECUESTRO",0,511831,0,"BCS","Baja California Sur"
3,2004,"SECUESTRO",1,529124,0.19,"BCS","Baja California Sur"
3,2005,"SECUESTRO",0,546776,0,"BCS","Baja California Sur"
3,2006,"SECUESTRO",5,565024,0.88,"BCS","Baja California Sur"
3,2007,"SECUESTRO",0,584639,0,"BCS","Baja California Sur"
3,2008,"SECUESTRO",5,605343,0.83,"BCS","Baja California Sur"
3,2009,"SECUESTRO",3,626900,0.48,"BCS","Baja California Sur"
3,2010,"SECUESTRO",1,649616,0.15,"BCS","Baja California Sur"
3,2011,"SECUESTRO",3,672682,0.45,"BCS","Baja California Sur"
3,2012,"SECUESTRO",0,695409,0,"BCS","Baja California Sur"
3,2013,"SECUESTRO",0,718196,0,"BCS","Baja California Sur"
3,2014,"SECUESTRO",0,741037,0,"BCS","Baja California Sur"
4,1997,"SECUESTRO",0,659417,0,"CAM","Campeche"
